"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"183",NA,NA,NA,0.00334648039193638,0.00292675870815944,0.00238499142450947,0.0019944027207412,0.0018205637530521,0.00166784460715649,0.00126254460176216,0.00129797222375763,0.00101516813782353,0.000876781986876723,0.000550991895886088,NA
"184",NA,NA,NA,0.00331625827179068,0.00289546362553493,0.00235015358071038,0.00195827178716185,0.0017823890686842,0.00162377559379832,0.00121529162174552,0.00125240179739706,0.000961136588433178,0.000831281954948234,0.000498938851563419,NA
"185",NA,NA,NA,0.00328613833496237,0.00286426663265983,0.00231535537295923,0.00192231261563612,0.00174432808269219,0.00157974819314988,0.00116816555940215,0.00120679022041846,0.000907110770358821,0.000785610028704527,0.00044689485552965,NA
"186",NA,NA,NA,0.00325612193330103,0.00283316685040122,0.00228059734143315,0.00188652303748773,0.00170637601700871,0.00153576331626768,0.00112116565763038,0.00116113463358626,0.000853090489316709,0.000739764654831848,0.0003948523765339,NA
"187",NA,NA,NA,0.00322621030901983,0.0028021628602311,0.00224587957961869,0.00185090032325687,0.00166852790578399,0.00149182205879197,0.00107429083270009,0.00111543308296016,0.000799076717130414,0.000693743903761159,0.000342802948053041,NA
"188",NA,NA,NA,0.00319640488026611,0.00277125384181941,0.00221120155817843,0.00181544299154458,0.00163077928758836,0.00144792613200295,0.00102754039055198,0.0010696843277587,0.00074506955729252,0.000647546497054049,0.000290737687163173,NA
"189",NA,NA,NA,0.00316670691203592,0.00274043874650478,0.0021765641465093,0.00178014770655602,0.00159312569583626,0.00140407601453215,0.000980913540172423,0.00102388604641916,0.000691069322100993,0.000601170499704293,0.000238648895138326,NA
"190",NA,NA,NA,0.00313711764158109,0.00270971629279135,0.00214196660684227,0.00174501322718856,0.00155556184185225,0.00136027216299624,0.000934409735630552,0.000978036282677641,0.000637076270243187,0.000554614492053481,0.000186527973995417,NA
"191",NA,NA,NA,0.00310763801093397,0.00267908584666452,0.00210740940082528,0.00171003619776002,0.00151808444997561,0.00131651706597036,0.000888027918034861,0.000932132958835019,0.000583090706635665,0.000507877446283146,0.000134366667327895,NA
"192",NA,NA,NA,0.00307826983948228,0.00264854603794503,0.00207289253677094,0.00167521530060662,0.00148068817406436,0.00127280998976639,0.000841767596668791,0.000886174324447251,0.000529113584758998,0.000460956919675037,8.21561654987943e-05,NA
"193",NA,NA,NA,0.00304901379759655,0.00261809591042919,0.00203841615099919,0.00164054786857162,0.00144336910215115,0.00122915276635318,0.000795627422124876,0.000840158641244959,0.000475144237461439,0.000413852762720942,2.98880910911583e-05,NA
"194",NA,NA,NA,0.00301987114343189,0.0025877346173336,0.00200398041985727,0.0016060315026836,0.00140612283775685,0.00118554556747232,0.000749606943090475,0.000794084072225623,0.000421183848277541,0.000366562317338258,-2.24457219288413e-05,NA
"195",NA,NA,NA,0.00299084333837724,0.00255746112627916,0.00196958534847185,0.00157166380677556,0.0013689448569793,0.00114198929604559,0.000703705486219308,0.000747948455724874,0.00036723262638051,0.000319085732892379,-7.48534833510155e-05,NA
"196",NA,NA,NA,0.00296193121393139,0.00252727430268866,0.00193523097621834,0.00153744331354535,0.0013318311761376,0.00109848510933609,0.000657921621557328,0.000701750257534241,0.000313290777979622,0.000271421021379667,-0.000127344647175493,NA
"197",NA,NA,NA,0.00293313586388136,0.00249717346941346,0.00190091759776041,0.00150336681322961,0.00129477786605811,0.00105503267550704,0.00061225527273146,0.000655487834666334,0.000259359419477914,0.000223567130483993,-0.000179926864551741,NA
"198",NA,NA,NA,0.00290445863947168,0.00246715775826413,0.00186664548677091,0.00146943263447689,0.0012577801887311,0.00101163307289877,0.000566704968584908,0.000609159253939257,0.000205437912830196,0.000175522816883085,-0.000232609029822759,NA
"199",NA,NA,NA,0.00287590025532856,0.00243722612198508,0.0018324147996073,0.00143563835928022,0.00122083468209031,0.000968286876150191,0.000521270163609634,0.000562762299714953,0.000151527722898437,0.000127287605578687,-0.000285399331050165,NA
"200",NA,NA,NA,0.00284746226205866,0.00240737770103403,0.00179822524775342,0.00140198181045505,0.0011839375455761,0.000924994487092091,0.000475949480397149,0.00051629564325742,9.76286155780487e-05,7.88600910247652e-05,-0.000338306486555347,NA
"201",NA,NA,NA,0.00281914527603498,0.0023776114713733,0.00176407742106772,0.00136846079160591,0.00114708361181534,0.000881756439131291,0.000430742808319906,0.000469757923178439,4.37417561148407e-05,3.02397167315752e-05,-0.000391339237790689,NA
"202",NA,NA,NA,0.00279095037800781,0.00234792693199588,0.00172997187855057,0.00133507316486386,0.00111027080493959,0.000838572532013181,0.000385649073876888,0.000423146999596577,-1.01327413566415e-05,-1.85751633726833e-05,-0.000444505590317601,NA
"203",NA,NA,NA,0.00276287890768572,0.00231832295701984,0.00169590819854293,0.00130181686790125,0.0010734942681969,0.000795444206942483,0.000340667151000496,0.000376461134955711,-6.39946440154805e-05,-6.75841877903406e-05,-0.000497814706913451,NA
"204",NA,NA,NA,0.00273493115672627,0.0022887990604648,0.00166188702025491,0.00126868900991453,0.00103675082601804,0.000752370469980604,0.000295795569327236,0.000329698665720334,-0.000117842452483498,-0.000116789055906836,-0.000551274761461691,NA
"205",NA,NA,NA,0.00270710870122203,0.00225935422589781,0.00162790866167599,0.0012356884246293,0.00100003622851413,0.000709352373258269,0.000251034672425745,0.000282857877599628,-0.000171676897401224,-0.000166190137750638,-0.000604893999707386,NA
"206",NA,NA,NA,0.00267941224700628,0.00222998774119621,0.00159397279554633,0.00120281239769467,0.000963347353104341,0.000666389666819785,0.000206382689107684,0.000235937725204913,-0.000225496175326079,-0.000215787960538547,-0.00065868189027532,NA
"207",NA,NA,NA,0.00265184283328143,0.00220069885335594,0.00156008040077677,0.00117005866002686,0.000926680667268062,0.000623482869355565,0.000161838807454757,0.00018893578689719,-0.000279300727005186,-0.000265583152418872,-0.00071264608983052,NA
"208",NA,NA,NA,0.00262440092978095,0.00217148673818723,0.00152623139747458,0.0011374253630336,0.000890032638841711,0.000580631734531209,0.000117402185600684,0.000141851132045369,-0.000333089349230171,-0.000315576287806127,-0.000766795687255963,NA
"209",NA,NA,NA,0.00259708765844072,0.00214235077878349,0.00149242623994834,0.00110490997309311,0.000853399211697425,0.000537836292853678,7.3071691451377e-05,9.46813545874673e-05,-0.000386861345931053,-0.000365767533574937,-0.000821138879201686,NA
"210",NA,NA,NA,0.00256990408497057,0.00211329038723653,0.00145866504431932,0.00107251078262614,0.000816778176520737,0.000495096996931627,2.88470131652844e-05,4.74258727548682e-05,-0.000440616490582397,-0.000416157603860068,-0.000875684577317711,NA
"211",NA,NA,NA,0.00254285075083753,0.00208430454725704,0.00142494836178166,0.00104022593264272,0.000780165520158844,0.000452413601578314,-1.52739060950433e-05,8.26953183464651e-08,-0.000494353713230787,-0.000466746948313198,-0.000930441128166445,NA
"212",NA,NA,NA,0.00251592869908926,0.00205539289648825,0.00139127653040325,0.00100805276760666,0.000743558021206005,0.000409785324505416,-5.92912802110731e-05,-4.73498715457944e-05,-0.000548073204145206,-0.00051753527742938,-0.000985417430840352,NA
"213",NA,NA,NA,0.00248913836776996,0.00202655482789113,0.00135764955753594,0.000975989287197896,0.000706953175990002,0.000367213158742616,-0.000103206275091716,-9.48729665658763e-05,-0.000601773345331924,-0.000568523180483319,-0.00104062156102613,NA
"214",NA,NA,NA,0.00246248100622799,0.001997789368841,0.00132406830555913,0.000944033543118626,0.000670347366648099,0.000324696210273795,-0.000147019558829473,-0.000142488361300486,-0.00065545382132574,-0.000619710965802372,-0.00109606245957013,NA
"215",NA,NA,NA,0.00243595680584169,0.00196909601980609,0.00129053277705252,0.00091218353269539,0.000633737578058003,0.000282234409880925,-0.000190732829141468,-0.000190197112849593,-0.000709113914078801,-0.000671098330902752,-0.00115174830870527,NA
"216",NA,NA,NA,0.00240956684943984,0.00194047472231303,0.0012570432780018,0.000880437095742979,0.000597121283827131,0.000239827783080948,-0.000234346394521807,-0.00023800142838215,-0.00076275248913177,-0.000722686183618656,-0.00120768833894321,NA
"217",NA,NA,NA,0.00238331181677905,0.00191192429638346,0.0012236007395926,0.000848792155894444,0.000560495268554841,0.000197475549230644,-0.00027786147843369,-0.00028590167651582,-0.000816369957467857,-0.00077447291981789,-0.00126389013564314,NA
"218",NA,NA,0.0033903830064211,0.00235719212101822,0.00188344424717367,0.00119020503217689,0.000817246780889487,0.000523856768278626,0.000155178307317714,-0.000321279210486776,-0.000333900140542916,-0.000869963924260751,-0.00082646003437274,-0.00132036288747043,NA
"219",NA,NA,0.00337091835526763,0.00233120885278766,0.00185503421969631,0.00115685682461471,0.000785798919042134,0.000487203130185939,0.000112934492390252,-0.000364600824364121,-0.000381997437016336,-0.000923535239318091,-0.000878646680589626,-0.00137711516402011,NA
"220",NA,NA,0.00335157642594716,0.00230536237745535,0.00182669368383385,0.00112355651128524,0.000754446660228263,0.000450531948321469,7.07445874589447e-05,-0.000407827010895299,-0.000430195999640393,-0.000977082133127434,-0.000931032737150091,-0.00143415531389704,NA
"221",NA,NA,0.00333235641079152,0.00227965329790778,0.00179842194727531,0.00109030456054269,0.000723188131503302,0.000413839797682276,2.86077895704958e-05,-0.00045095916234225,-0.000478495725381848,-0.00103060390136454,-0.000983617728523217,-0.00149149184331772,NA
"222",NA,NA,0.00331325743960179,0.0022540822166325,0.00177021870202291,0.00105710133025535,0.000692020693406557,0.000377124961308154,-1.34757792622907e-05,-0.000493997971464154,-0.000526899238555335,-0.00108410001571936,-0.00103640193195058,-0.00154913250591785,NA
"223",NA,NA,0.00329427869083606,0.00222864997615946,0.00174208335857085,0.00102394728248373,0.000660943615816486,0.000340384693422293,-5.55080604759306e-05,-0.000536944989061505,-0.00057540695560618,-0.0011375693388723,-0.00108938443989237,-0.00160708766268531,NA
"224",NA,NA,0.00327541914575585,0.00220335688581423,0.00171401572556127,0.000990843179884072,0.00062995360992481,0.000303617386494804,-9.74882978977393e-05,-0.000579800421166487,-0.00062402035762525,-0.00119101168901025,-0.00114256506420216,-0.00166536375503934,NA
"225",NA,NA,0.00325667804935712,0.00217820325666493,0.00168601506137156,0.000957788921144142,0.000599049446162966,0.000266819244216943,-0.000139417213694693,-0.00062256612602539,-0.000672740895289926,-0.00124442541404266,-0.0011959434158805,-0.00172397050681536,NA
"226",NA,NA,0.00323805411997093,0.00215318989480712,0.00165808111512435,0.00092478593646023,0.000568229109070545,0.0002299888381642,-0.000181295962576088,-0.000665243161455045,-0.000721569637829593,-0.00129780970601593,-0.00124951853407165,-0.00178291594651933,NA
"227",NA,NA,0.00321954682925938,0.00212831751832697,0.00163021344668584,0.000891833752486429,0.000537490887153675,0.000193124159398666,-0.000223124439308459,-0.000707832327867763,-0.000770507467915302,-0.00135116473282833,-0.00130329009861618,-0.00184220861748367,NA
"228",NA,NA,0.00320115516152499,0.00210358610130821,0.00160241161292143,0.000858933318415837,0.000506832348755345,0.000156222664320019,-0.000264904035150777,-0.000750334685794021,-0.000819556278931051,-0.00140448802966567,-0.00135725710308569,-0.00190185670641794,NA
"229",NA,NA,0.00318287811771522,0.00207899642458908,0.00157467532417608,0.000826085365409438,0.000476252221285577,0.000119282991388588,-0.000306634932484984,-0.000792751860009327,-0.000868716499103809,-0.00145777982307332,-0.00141141999375683,-0.00196186892333992,NA
"230",NA,NA,0.00316471515071978,0.00205454874092556,0.00154700425348225,0.000793290141179819,0.000445747968813914,8.23027723155951e-05,-0.000348318415852984,-0.000835083858913992,-0.000917990190531965,-0.00151103825478342,-0.001465776355596,-0.0020222536133514,NA
"231",NA,NA,0.00314666512931536,0.0020302433659462,0.00151939811307717,0.000760548234152506,0.000415318754669934,4.52797680658584e-05,-0.000389954457913439,-0.000877333374454233,-0.000967377198674899,-0.00156426360195425,-0.0015203264625429,-0.00208301888871092,NA
"232",NA,NA,0.00312872707970111,0.00200608109885359,0.00149185645986879,0.000727860450854426,0.000384962065352501,8.21266579209754e-06,-0.000431544427804338,-0.000919500934393579,-0.00101687981840547,-0.00161745343221081,-0.00157506879641695,-0.00214417315623627,NA
"233",NA,NA,0.00311090048154521,0.00198206189124704,0.00146437879625731,0.000695227048322987,0.000354675761978824,-2.89001993966236e-05,-0.000473089362514323,-0.000961586738015777,-0.00106649829247719,-0.00167060765999586,-0.00163000309330819,-0.00220572476824838,NA
"234",NA,NA,0.00309318394980296,0.00195818655693479,0.00143696533217783,0.000662648659738089,0.00032445884617983,-6.60608148295705e-05,-0.000514589289864334,-0.00100359274421094,-0.00111623356627834,-0.00172372532513138,-0.00168512756246221,-0.00226768244599958,NA
"235",NA,NA,0.00307557712183697,0.00193445484930963,0.0014096155342563,0.000630125874835814,0.000294308655015878,-0.000103270346498227,-0.000556045837727291,-0.00104552054221212,-0.00116608766700905,-0.00177680535547015,-0.00174044158450134,-0.00233005415144078,NA
"236",NA,NA,0.003058079019164,0.00191086738032834,0.00138232900264945,0.000597659290950664,0.000264224310402847,-0.000140531269201931,-0.000597459377493617,-0.0010873708730837,-0.00121606039888647,-0.0018298463525867,-0.00179594392797542,-0.00239284802991227,NA
"237",NA,NA,0.00304068857400085,0.00188742447511734,0.00135510595356799,0.000565249687075772,0.000234203413370597,-0.000177843994289237,-0.000638831050877358,-0.00112914452910887,-0.00126615343012699,-0.00188284790544104,-0.0018516335296074,-0.00245607227931321,NA
"238",NA,NA,0.00302340506902995,0.00186412644126287,0.00132794581678779,0.000532897704041891,0.000204244738821104,-0.00021521035540186,-0.000680161439454835,-0.00117084307605916,-0.00131636775556222,-0.00193580819636132,-0.00190750894806536,-0.00251973562179092,NA
"239",NA,NA,0.00300622757449797,0.00184097325631199,0.0013008482778154,0.000500603879572492,0.000174346329569345,-0.00025263102977207,-0.000721452652224239,-0.00121246797487156,-0.00136670364828449,-0.00198872651707205,-0.00196356876240659,-0.00258384564560374,NA
"240",NA,NA,0.00298915540474042,0.00181796539101236,0.00127381368494661,0.000468368668882828,0.000144506126265103,-0.000290107905787981,-0.000762704401976316,-0.00125401993076583,-0.00141716243163889,-0.00204160161560907,-0.00201981188867352,-0.00264841103476862,NA
"241",NA,NA,0.00297218762853495,0.00179510282995131,0.00124684134030581,0.000436192928414018,0.000114722604373546,-0.000327642347753675,-0.000803918088091057,-0.00129550105060088,-0.00146774501192084,-0.00209443277420388,-0.00207623658474803,-0.0027134391111403,NA
"242",NA,NA,0.00295532328563022,0.00177238608656332,0.00121993109116335,0.000404077105855475,8.49944397412807e-05,-0.000365235034807197,-0.000845095383455197,-0.0013369115620916,-0.00151845257884844,-0.00214721853326075,-0.00213284194707851,-0.00277893846271004,NA
"243",NA,NA,0.00293856175505389,0.00174981495991687,0.00119308341787944,0.000372021940513761,5.53199656983729e-05,-0.00040288616234178,-0.000886236268993035,-0.00137825253376091,-0.00156928546414284,-0.00219995755510319,-0.00218962598803671,-0.00284491758800833,NA
"244",NA,NA,0.00292190208582186,0.00172738971873261,0.00116629741713904,0.000340028560416814,2.56971815806162e-05,-0.000440597807159756,-0.000927342554829039,-0.00141952619971556,-0.00162024434278194,-0.00225264943890914,-0.00224658695470338,-0.00291138402278646,NA
"245",NA,NA,0.00290534353328223,0.00170511057583781,0.00113957351346311,0.000308096806077715,-3.87522269812307e-06,-0.000478371088031571,-0.000968415254719141,-0.00146073342669186,-0.00167133003210616,-0.00230529220410727,-0.0023037236960526,-0.00297834600406042,NA
"246",0.00304811045644155,NA,0.00288888517276931,0.00168297755658685,0.0011129112965735,0.000276228147623836,-3.33990859503223e-05,-0.000516205303937661,-0.00100945528645646,-0.00150187518830414,-0.0017225438191016,-0.00235788511366005,-0.00236103380733844,-0.00304581109930268,NA
"247",0.00303242489818941,NA,0.00287252604541157,0.00166099079896539,0.00108631106129383,0.000244422907258122,-6.28762661857191e-05,-0.000554102283218973,-0.00105046396963845,-0.00154295266532765,-0.00177388606065556,-0.00241042690059889,-0.00241851615698812,-0.00311378782193273,NA
"248",0.00301693833460889,NA,0.00285626571208462,0.00163915042079168,0.00105977236095014,0.000212681568573693,-9.23076234729466e-05,-0.000592062167698482,-0.00109144222716848,-0.00158396793869055,-0.00182535747651186,-0.00246291621701989,-0.00247616906236995,-0.00318228397990764,NA
"249",0.00300164791885221,NA,0.00284010305647235,0.00161745643528616,0.00103329525310849,0.000181005590421866,-0.000121695096367969,-0.00063008549884178,-0.00113239126646842,-0.00162492129012502,-0.00187695867367853,-0.00251535189718451,-0.00253398981386417,-0.00325130732518763,NA
"250",0.00298655126608444,NA,0.00282403746711574,0.00159590865608992,0.00100687998711096,0.000149394503220002,-0.000151040395960343,-0.000668173353805905,-0.00117331224930879,-0.00166581464923903,-0.00192869007606686,-0.00256773259021918,-0.00259197728538249,-0.00332086522606368,NA
"251",0.00297164582614847,NA,0.00280806793040643,0.00157450741803367,0.000980525998967735,0.000117850032403714,-0.000180344699689919,-0.00070632555679017,-0.00121420680734726,-0.00170664932276558,-0.00198055329903115,-0.00262005757232641,-0.00265012916276145,-0.0033909664413976,NA
"252",0.00295692900200429,NA,0.00279219379862539,0.00155325247065038,0.000954233972799825,8.63727343697212e-05,-0.000209609912566871,-0.000744542348994021,-0.00125507569684205,-0.0017474261622805,-0.00203254809697221,-0.00267232475969993,-0.00270844282681855,-0.00346161800199391,NA
"253",0.00294239845873906,NA,0.00277641414328246,0.00153214382895547,0.000928003358515705,5.49630655835802e-05,-0.000238837187636829,-0.000782823836174183,-0.00129592006196565,-0.00178814656932886,-0.00208467504719763,-0.00272453312009206,-0.00276691713216947,-0.00353282814797258,NA
"254",0.00292805184638154,NA,0.00276072835827033,0.00151118149978381,0.000901834396505447,2.36220789310469e-05,-0.000268027898968155,-0.000821171246774004,-0.00133674111604693,-0.00182881258727472,-0.00213693446420424,-0.00277668190972033,-0.00282554939251533,-0.0036046044237342,NA
"255",0.00291388617321024,NA,0.0027451354116635,0.00149036538669344,0.000875727050360695,-7.65004561953504e-06,-0.000297183799141964,-0.000859583515220047,-0.00137754094198831,-0.00186942455803966,-0.0021893280352406,-0.00282876956205629,-0.00288433774819733,-0.00367695398001551,NA
"256",0.00289989943468525,NA,0.00272963478445279,0.00146969532525577,0.000849681533789818,-3.88518875508643e-05,-0.000326306486071427,-0.000898060770015804,-0.00141831989537583,-0.00190998444223063,-0.00224185497069741,-0.00288079385323735,-0.00294327951070364,-0.0037498851766514,NA
"257",0.00288608889423734,NA,0.00271422555808793,0.00144917138750259,0.00082369772685955,-6.99825870397652e-05,-0.00035539675253104,-0.000936603531202796,-0.00145907926316493,-0.001950493160075,-0.00229451675558319,-0.00293275479281829,-0.00300237260538284,-0.00382340553994716,NA
"258",0.00287245215939705,NA,0.00269890678957193,0.00142879331997438,0.000797775931328835,-0.000101042396365887,-0.000384456181579617,-0.000975211380569285,-0.00149982056454142,-0.00199095291461029,-0.00234731333347252,-0.00298464962441889,-0.00306161444250392,-0.00389752194470986,NA
"259",0.00285898673145394,NA,0.00268367783471254,0.00140856109401219,0.000771915925506386,-0.000132029537173204,-0.000413486699079315,-0.00101388362238791,-0.00154054505018862,-0.0020313638483232,-0.0024002448673187,-0.0030364781186599,-0.00312100269924224,-0.00397224255545585,NA
"260",0.00284569003119194,NA,0.00266853813711817,0.00138847428814734,0.00074611793348483,-0.000162943639519662,-0.000442489683148072,-0.00105262141521263,-0.00158125412787263,-0.00207172822059963,-0.0024533123568343,-0.00308823845451445,-0.00318053490326241,-0.00404757453556234,NA
"261",0.00283255984676287,NA,0.00265348657831967,0.00136853292429946,0.000720382329030571,-0.000193783644742167,-0.000471465194043374,-0.0010914223371857,-0.00162194861416277,-0.00211204683764263,-0.00250651597954749,-0.00313992926371502,-0.0032402086058153,-0.00412352523902126,NA
"262",0.00281959363244828,NA,0.00263852261689828,0.00134873682436593,0.000694708763994767,-0.000224549075412547,-0.000500415766165629,-0.00113028738548751,-0.00166262978229444,-0.00215232216353933,-0.00255985584669817,-0.00319154867362874,-0.00330002121307251,-0.00420010222624984,NA
"263",0.00280678875363874,0.00297184842898714,0.00262364541997986,0.0013290856489526,0.000669097894977612,-0.000255239240514814,-0.000529342404953327,-0.00116921590995237,-0.00170330033359623,-0.0021925539922696,-0.00261333280442833,-0.00324309604251947,-0.00335996988017557,-0.00427731242637426,NA
"264",0.00279414297302839,0.00297009443613006,0.00260885408429113,0.00130957926865533,0.000643549634428264,-0.000285852890283851,-0.000558246306884765,-0.00120820666905707,-0.00174395997980054,-0.00223274421391402,-0.0026669468784194,-0.00329456958942163,-0.00342005212850359,-0.0043551637657518,NA
"265",0.00278165404712931,0.00296827811569905,0.002594148156427,0.00129021735182535,0.000618064047736202,-0.000316389632211764,-0.000587128997208014,-0.00124725991869175,-0.0017846105984087,-0.00227289530204813,-0.00272069803381107,-0.00334596740476028,-0.00348026446555034,-0.00443366314531382,NA
"266",0.002769319109544,0.00296639782507517,0.00257952656372806,0.00127099972240968,0.000592641483169097,-0.000346848279883778,-0.000615991383600696,-0.00128637384908021,-0.0018252535044495,-0.00231300808471459,-0.00277458692904489,-0.00339728877998185,-0.00354060566259746,-0.00451281765299489,NA
"267",0.00275713585624692,0.00296445180061715,0.00256498880767362,0.00125192606014017,0.000567281887712729,-0.000377228470691057,-0.000644834688870106,-0.00132554840892561,-0.0018658900051123,-0.0023530832730178,-0.00282861338020347,-0.00344853174138439,-0.00360107155483646,-0.00459263385128604,NA
"268",0.00274510213528115,0.00296243855469705,0.00255053407870759,0.00123299597831078,0.000541985694697148,-0.000407528930363183,-0.000673660343729434,-0.00136478244328546,-0.00190652133536125,-0.00239312323064682,-0.00288277842604942,-0.00349969501793682,-0.00366165925288074,-0.00467311976690144,NA
"269",0.00273321508351453,0.00296035642994795,0.00253616148894197,0.00121420916436971,0.000516753189436099,-0.000437748868953348,-0.000702469954673541,-0.00140407520257311,-0.00194714877695976,-0.00243312860829194,-0.0029370814456845,-0.00355077665313453,-0.00372236632657924,-0.00475428211093201,NA
"270",0.0027214728235756,0.00295820399527443,0.00252187038522972,0.00119556529703855,0.000491584447622033,-0.000467888118225549,-0.000731263644849632,-0.00144342478410208,-0.00198777374383181,-0.00247310157614939,-0.00299152281626737,-0.00360177544866048,-0.00378318953853057,-0.00483612786403244,NA
"271",0.00270987254397506,0.00295597951926946,0.00250766021453035,0.00117706420261189,0.000466479486451324,-0.000497944897818989,-0.000760043368985286,-0.00148283146088635,-0.00202839784445581,-0.00251304329121019,-0.00304610257893124,-0.0036526901148995,-0.003844125645009,-0.00491866376387758,NA
"272",0.00269841223053656,0.00295368173719014,0.0024935298554561,0.00115870534564135,0.000441438955954447,-0.000527918964363596,-0.000788809914360151,-0.00152229285650444,-0.00206902163703575,-0.00255295498879877,-0.00310082137402971,-0.00370351838765797,-0.00390517228797592,-0.00500189697186983,NA
"273",0.00268708939677065,0.00295130914680715,0.00247947893250688,0.00114048829804974,0.000416462760121531,-0.000557809659862373,-0.000817564464629268,-0.00156180881979805,-0.00210964686880494,-0.00259283836205754,-0.00315567835715446,-0.00375425958476182,-0.00396632513612186,-0.00508583380919478,NA
"274",0.00267590129473069,0.00294886019733235,0.002465506565203,0.00112241265103733,0.000391551491977305,-0.000587615491312831,-0.000846308015300345,-0.00160137677733194,-0.00215027515714366,-0.00263269472408088,-0.00321067455933745,-0.00380491086943115,-0.00402758189861596,-0.00517048165508219,NA
"275",0.00266484605250421,0.00294633378037077,0.00245161223136586,0.00110447812998483,0.0003667052288128,-0.000617336275510919,-0.000875042425069288,-0.0016409962731731,-0.00219090764521581,-0.00267252575834075,-0.0032658093155294,-0.00385547180779073,-0.00408893849305897,-0.00525584682437334,NA
"276",0.00265392111110253,0.00294372817664615,0.00243779479272735,0.00108668396342033,0.000341924312829374,-0.000646970815084331,-0.000903767574066463,-0.00168066493913338,-0.00223154471987636,-0.00271233303454487,-0.00332108332744055,-0.00390594021624971,-0.00415039256927309,-0.00534193568043387,NA
"277",0.00264312414430661,0.00294104239533591,0.00242405386163234,0.00106903019339318,0.000317209002183498,-0.000676518263583484,-0.000932484944732816,-0.00172038219057947,-0.0022721887096294,-0.00275211768544262,-0.00337649578576975,-0.00395631460902677,-0.00421194034752042,-0.00542875607893433,NA
"278",0.00263245272351517,0.00293827502780365,0.00241038870628472,0.00105151603943324,0.000292559674170177,-0.000705977808979952,-0.000961196076377215,-0.00176014570615484,-0.00231284044423299,-0.00279188134480249,-0.00343204676482753,-0.00400659346400924,-0.00427357818008279,-0.00551631294867992,NA
"279",0.0026219047120798,0.00293542465926943,0.00239679854977543,0.00103414110069957,0.000267976444699183,-0.000735348755734066,-0.000989901203439518,-0.00179995410866881,-0.00235350160310716,-0.002831626032866,-0.0034877365695839,-0.00405677461265882,-0.00433530296794189,-0.00560461355724479,NA
"280",0.00261147775681062,0.00293249011921272,0.00238328259472764,0.0010169047291229,0.000243459849787784,-0.000764630119411016,-0.00101860165399722,-0.00183980534796656,-0.00239417297613777,-0.00287135219265026,-0.00354356494591998,-0.0041068570935709,-0.00439711057313811,-0.0056936644492106,NA
"281",0.00260116951510956,0.00292947043732601,0.00236984032954436,0.000999806595186155,0.000219010185818197,-0.000793821135293068,-0.00104729849018232,-0.00187969776864813,-0.00243485607909893,-0.00291106259079183,-0.00359953232114285,-0.00415683894515456,-0.00445899833472466,-0.00578347206625006,NA
"282",0.0025909774984886,0.00292636419676733,0.00235647091857518,0.000982846207470816,0.000194627622372956,-0.000822920782743576,-0.00107599261412986,-0.00191962947070143,-0.00247555169598304,-0.00295075760670693,-0.00365563716582395,-0.00420671836571023,-0.00452096208214837,-0.0058740414778212,NA
"283",0.00258089980836769,0.00292317035906762,0.00234317356742911,0.00096602259733436,0.00017031275741169,-0.000851928214047964,-0.00110468483387616,-0.00195959817749604,-0.00251626185385344,-0.00299044001876701,-0.00371188050851822,-0.00425649346301777,-0.00458299800532916,-0.00596538053821672,NA
"284",0.00257093384419266,0.00291988772474629,0.00232994793486396,0.000949335760346266,0.000146065657860832,-0.000880842955213291,-0.00113337590120088,-0.00199960209674117,-0.00255698740895943,-0.0030301102658548,-0.00376826148494457,-0.00430616320733338,-0.00464510291355518,-0.00605749471910094,NA
"285",0.00256107746111959,0.00291651537278263,0.00231679301889185,0.000932784879154333,0.000121887060168984,-0.000909663665277688,-0.00116206688066813,-0.0020396390590816,-0.00259772862087548,-0.00306976983308631,-0.00382478065834574,-0.00435572509353036,-0.00470727320066392,-0.00615038990191283,NA
"286",0.00255132847429744,0.00291305218367437,0.00230370815668654,0.000916369216065187,9.77769875331688e-05,-0.000938389748573114,-0.00119075864103375,-0.00207970763715222,-0.00263848838491078,-0.0031094213311088,-0.00388143714877682,-0.00440517792901428,-0.00476950404811222,-0.0062440723961821,NA
"287",0.00254168450442088,0.00290949710527087,0.00229069296352881,0.000900088511777122,7.37356408825086e-05,-0.000967020394214751,-0.00121945211228002,-0.00211980349403348,-0.00267926673802804,-0.00314906493011778,-0.00393823084077177,-0.00445451976736885,-0.00483179308508437,-0.00633854841670017,NA
"288",0.00253214341909193,0.00290584916881714,0.00227774636582218,0.000883941941457984,4.97643150141478e-05,-0.000995554718750781,-0.00124814788765603,-0.00215992594425579,-0.00272006486607071,-0.00318870414737271,-0.00399516153389818,-0.00450374851145933,-0.00489413502669071,-0.00643382340179226,NA
"289",0.00252270283614826,0.00290210731623136,0.00226486788660772,0.000867928822901649,2.58624569569291e-05,-0.00102399193523657,-0.00127684713092688,-0.0022000720943145,-0.0027608844360516,-0.00322833872868795,-0.0040522285531702,-0.00455286298936699,-0.00495652701095098,-0.00652990331450501,NA
"290",0.0025133607555243,0.00289827084894492,0.00225205672488772,0.000852048574878508,2.03060016785809e-06,-0.00105233094716953,-0.00130555022105577,-0.00224023958254233,-0.00280172644304618,-0.00326797113619041,-0.00410943201079301,-0.00460186114177645,-0.00501896445574766,-0.00662679482007859,NA
